"rotation href","adapt-img src","titre","jour","mois","sep 2","jour 2","mois 2","annee","genre"
"https://www.lacarene.fr/metalearth-festival-3-jour-2.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/78/c4795d9173293af6c64ecab5bf4ec2.jpg?1721036895","Metalearth Festival #3 : JOUR 2","16","11","au","17","11","24","Concert"
"https://www.lacarene.fr/developper-son-projet-musical.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/0f/6c539800571d637f9d936723b8f828.jpg?1721036895","Développer son projet musical","19","11","","","","24","Rencontre"
"https://www.lacarene.fr/festival-invisible-soiree-bitume.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/6f/961cfa7b650e00870c93fc7d1a0263.jpg?1721332792","Festival Invisible : Soirée Bitume","22","11","","","","24","Concert"
"https://www.lacarene.fr/festival-invisible-soiree-costume.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/db/2532d90ee5a04d34aaf420117f6aee.jpg?1721332791","Festival Invisible : Soirée Costume","23","11","","","","24","Concert"
"https://www.lacarene.fr/technique-de-prise-de-son.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/33/cb0568f5bacac448d7da9801d27dd0.jpg?1721036895","Technique de prise de son","25","11","au","29","11","24","Formation"
"https://www.lacarene.fr/rendez-vous-servo.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/93/12ef4c14b3f6d51ba6b0c905c28b2a.jpg?1721036895","Rendez-Vous + Servo","29","11","","","","24","Concert"
"https://www.lacarene.fr/tindersticks.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/f6/fbe1a1af5e5f0559ebb38082312f14.jpg?1721036895","Tindersticks","30","11",,,,"24","Hors les murs"
"https://www.lacarene.fr/technique-de-mixage.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/c3/6142df803f194df13107933bdc158f.jpg?1721036895","Technique de mixage","02","12",,,,"24","Formation"
"https://www.lacarene.fr/midi-demi-3-14air.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/a1/2fee4ba98260fd69e207346529eb4f.jpg?1721036895","Midi & Demi : 3.14AIR","04","12",,,,"24","Concert"
"https://www.lacarene.fr/olivia-ruiz-cheri.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/96/23c2e991e01aadb00c871ca6482933.jpg?1721036895","Olivia Ruiz + Chéri","06","12",,,,"24","Concert"
"https://www.lacarene.fr/reussir-vos-prises-de-son-en-home-studio.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/b2/d00fe36a9ebdef78e4ebcca545a4e8.jpg?1721036895","Réussir vos prises de son en Home Studio","07","12",,,,"24","Atelier"
"https://www.lacarene.fr/yodelice.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/65/3bc3caf8c431550b66a44fc8268322.jpg?1721036895","Yodelice","07","12",,,,"24","Concert"
"https://www.lacarene.fr/kimberose.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/e7/6d11cf464234c5da15e600e3891a65.jpg?1721071438","Kimberose","11","12",,,,"24","Concert"
"https://www.lacarene.fr/festival-noborder-14.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/a8/efadab8eff51afae25521da2dcecc5.png?1721806527","Festival NoBorder #14","14","12",,,,"24",""
"https://www.lacarene.fr/vos-droit-a-la-formation-avec-l-afdas.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/0a/d0c3cf5c46ebc5fbf5f0710cdb88b9.jpg?1721071438","Vos droit à la formation avec l’AFDAS","15","12",,,,"24","Rencontre"
"https://www.lacarene.fr/slift.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/1f/eccf328c2299384eb0106d280d2a6b.png?1721071438","Slift","18","01",,,,"25","Concert"
"https://www.lacarene.fr/gringe.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/42/c25eae2484d76924d99739fb2e4123.png?1721071438","Gringe","25","01",,,,"25","Concert"
"https://www.lacarene.fr/clara-yse.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/e2/e288f413eaf80180494542e024d9a7.jpg?1721071438","Clara Ysé","14","02",,,,"25","Concert"
"https://www.lacarene.fr/solann.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/c0/344dbb0108ba7ae560944029408cd7.jpg?1721071438","Solann","06","03",,,,"25","Concert"
"https://www.lacarene.fr/hatik.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/a8/9072b80d1ad05ce74a4754311b3381.jpg?1721071438","Hatik","14","03",,,,"25","Concert"
"https://www.lacarene.fr/orange-blossom.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/f6/dcc4e28eb38fcb77d7460dc377fa2e.jpg?1721071438","Orange Blossom","20","03",,,,"25","Concert"
